,Unnamed: 0,e1,e2,sim,Predicted,Analyzed,_merge
103,103,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Muskegs,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Recover_the_Gungan_Artifact_stolen_by_the_Muskegs,,,,left_only
105,105,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Spiced_tea,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Spiced_Tea,,,,left_only
108,108,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Ufwol,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/General_Ufwol,,,,left_only
111,111,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Citros_snow_cake,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Citros_Snow_Cake,,,,left_only
114,114,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Tanc_mite,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Tanc_Mite,,,,left_only
117,117,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/DXR6_heavy_carbine,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/DXR6_Heavy_Carbine,,,,left_only
124,124,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Camp_Alpha,"http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Forward_Watch,_Alpha_Camp",,,,left_only
125,125,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Nak%27tra_crystal,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Radiated_Nak%27tra_Crystal,,,,left_only
126,126,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Musical_instrument/Legends,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Instruments,,,,left_only
134,134,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Imperial_code_cylinder,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Imperial_Rank_Cylinder,,,,left_only
137,137,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Vatoono,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Vatoono_(Guild_Traitor),,,,left_only
148,148,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Midlithe_crystal,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Midlithe_Crystal,,,,left_only
152,152,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Vayde_Quellium,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Capt._Quellium,,,,left_only
154,154,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Gand_shockprod_staff,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Gand_Shockprod_Staff,,,,left_only
161,161,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/DH-17_short_carbine,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/DH17_Short_Carbine,,,,left_only
163,163,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Karkan_ribene,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Karkan_Ribenes,,,,left_only
165,165,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Mummers,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Mummer,,,,left_only
166,166,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Coolth_backpack,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Military_Travel_Pack,,,,left_only
169,169,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Rothax,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Staff_Sergeant_Rothax,,,,left_only
175,175,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Kenkirk,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Cmdr._Kenkirk,,,,left_only
176,176,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Zanier_Hudmasse,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Professor_Zanier_Hudmasse,,,,left_only
179,179,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Koh_(Twi%27lek),http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Captain_Koh,,,,left_only
183,183,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Hendanyn_death_mask,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/A_Hendanyn_Death_Mask,,,,left_only
184,184,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Ronald_Varim,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Ronald_Varim_(Corrupt_Officer),,,,left_only
188,188,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Kerritamba,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Chief_Kerritamba,,,,left_only
190,190,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Zaprin_family,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/House_Call,,,,left_only
191,191,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Holo-entertainment_table,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Holo-Entertainment_Table,,,,left_only
194,194,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Marine_armor,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Rebel_Marine_armor,,,,left_only
195,195,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Meatlump_wine,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/A_Bottle_of_Meatlump_Wine,,,,left_only
196,196,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Camp_Beta,"http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Forward_Watch,_Beta_Camp",,,,left_only
198,198,http://dbkwik.webdatacommons.org/starwars.wikia.com/property/skin,http://dbkwik.webdatacommons.org/swg.wikia.com/property/skin,,,,left_only
201,201,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Blackwing_crystal,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Blackwing_Crystal,,,,left_only
205,205,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Mikdanyell_Guh%27rantt,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Mayor_Mikdanyell_Guh%27rantt,,,,left_only
206,206,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Wyyyschokk,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Webweaver,,,,left_only
209,209,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Flameout_(drink),http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Flameout,,,,left_only
210,210,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Boar-wolf/Legends,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Boar_Wolf,,,,left_only
211,211,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Rebel_assault_armor,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Rebel_Assault_armor,,,,left_only
212,212,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Zabran,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Smuggler_Crafted_Buffs_(Spices_and_Food),,,,left_only
213,213,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Willham_Burke,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Admiral_Willham_Burke,,,,left_only
220,220,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Massassi_knuckler,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Massassi_Knuckler,,,,left_only
224,224,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/The_Jewelry_Collection,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/The_Jewelry_Collection_painting,,,,left_only
226,226,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Darth_Vader_(painting),http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Painting:_Darth_Vader,,,,left_only
231,231,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Rol_Stone,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Rare_Rol_Stone,,,,left_only
233,233,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Zicx,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/A_Jar_of_Zicx_Bugs,,,,left_only
238,238,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Exar_Kun_mural,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Exar_Kun_Mural,,,,left_only
239,239,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Kreezo,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Captain_Kreezo,,,,left_only
240,240,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Aqzow,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Lt._Colonel_Aqzow,,,,left_only
241,241,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Braedic_Ekirk,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Col._Ekirk,,,,left_only
242,242,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/M22-T_Krayt_gunship,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/M22-T_%22Krayt%22_Gunship,,,,left_only
249,249,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Chef/Legends,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Chef,,,,left_only
250,250,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Architect/Legends,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Architect,,,,left_only
251,251,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Bladeback_boar/Legends,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Wild_Bladeback_Boar,,,,left_only
252,252,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Darkstone,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Colonel_Darkstone,,,,left_only
254,254,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Skar_(Dark_Jedi),http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Skar,,,,left_only
257,257,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Velso,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Lt._Velso,,,,left_only
262,262,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Eopie_cream_pie,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Eopie_Cream_Pie,,,,left_only
263,263,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/IG-106,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Slicer_sentry,,,,left_only
269,269,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Huj_mat,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Huj_Mat_Rug,,,,left_only
271,271,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Dune_Sea/Legends,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/The_Dune_Sea,,,,left_only
272,272,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Clone_Wars_Painting_(clone_trooper),http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Clone_Wars_Painting:_Clone_Trooper,,,,left_only
273,273,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Clone_Wars_Painting_(Grievous),http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Clone_Wars_Painting:_General_Grievous,,,,left_only
274,274,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Errad_Brytok,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Lt._Errad_Brytok,,,,left_only
277,277,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Feather_duster,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/A_Feather_Duster,,,,left_only
278,278,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Nalskel,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Saving_Gungan_Nalskel,,,,left_only
279,279,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/DL-T_Heavy_blaster_pistol,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/DL-T_Heavy_Blaster_Pistol,,,,left_only
280,280,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/D%27Mayna_Stallaphalat,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Stella,,,,left_only
282,282,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Aludium_pu-36,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Aludium_pu36_(Schematic),,,,left_only
286,286,http://dbkwik.webdatacommons.org/starwars.wikia.com/property/population,http://dbkwik.webdatacommons.org/swg.wikia.com/property/population,,,,left_only
287,287,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Heavy_particle_beam_cannon,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Heavy_Particle_Beam_Cannon,,,,left_only
288,288,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Prat,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Watch_Captain_Prat,,,,left_only
289,289,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Desert_Sands_(quadrant),http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Desert_Sands,,,,left_only
294,294,http://dbkwik.webdatacommons.org/starwars.wikia.com/property/faction,http://dbkwik.webdatacommons.org/swg.wikia.com/property/faction,,,,left_only
297,297,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Lantern_bird/Legends,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Lantern_Bird,,,,left_only
298,298,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Peko-peko,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Peko_Peko,,,,left_only
301,301,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Nightsister_tower,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Schematic:_Nightsisters_Tower,,,,left_only
306,306,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Almond-kwevvu_Crisp-munchy,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Almond-Kwevvu_Crisp_Munchies,,,,left_only
310,310,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Pikatta_pie,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Pikatta_Pie,,,,left_only
312,312,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Bearded_jax,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Bearded_Jax,,,,left_only
314,314,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Corellian_brandy/Legends,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Corellian_Brandy,,,,left_only
315,315,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Darkwalkers,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Recover_the_Gungan_Artifact_stolen_by_the_Darkwalkers,,,,left_only
319,319,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Viopa,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Lady_Viopa,,,,left_only
323,323,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Mon_Calamari_Eye_1,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Painting_of_A_Mon_Calamari_eye_1,,,,left_only
325,325,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Oberhaur,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Commander_Oberhaur,,,,left_only
326,326,http://dbkwik.webdatacommons.org/starwars.wikia.com/property/title,http://dbkwik.webdatacommons.org/swg.wikia.com/property/title,,,,left_only
327,327,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Harriet_Brunser,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Sergeant_Harriet_Brunser,,,,left_only
330,330,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Double-Dip_Outer_Rim_Rumdrop,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Double-Dip_Outer_Rim_Rumdrop_(Schematic),,,,left_only
332,332,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Tosche_Station/Legends,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Tosche_Station,,,,left_only
334,334,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Legendary_vortex_rifle,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/The_Legendary_Vortex_Rifle,,,,left_only
335,335,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Power_hammer,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Power_Hammer,,,,left_only
337,337,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/K%27lor%27slug/Legends,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/K%27lor%27slug_Dejarik_Piece,,,,left_only
340,340,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Battle_of_Echo_Base_(painting),http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Battle_of_Echo_Base_painting,,,,left_only
348,348,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Pirate_Bunker,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Naboo_Pirate_Bunker,,,,left_only
351,351,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Lancer-class_frigate/Legends,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Imperial_Lancer-class_Frigate,,,,left_only
353,353,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Mei_Lai,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Mei_Lai_(Witch),,,,left_only
357,357,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Storm_commando,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Imperial_Storm_Commando,,,,left_only
358,358,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Triumph_(painting),http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Triumph,,,,left_only
359,359,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Wanted_Poster:_Princess_Leia_Organa,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Wanted_Poster:_Leia_Organa,,,,left_only
366,366,http://dbkwik.webdatacommons.org/starwars.wikia.com/property/crew,http://dbkwik.webdatacommons.org/swg.wikia.com/property/crew,,,,left_only
367,367,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Vrke,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Inquisitor_Vrke,,,,left_only
369,369,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Kalranoos_carbine,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Kalranoos_Carbine,,,,left_only
370,370,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Laser_carbine,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Laser_Carbine,,,,left_only
371,371,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Graling_juice,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Gralinyn_Juice,,,,left_only
373,373,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Trandoshan_suppressor_pistol,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Trandoshan_Suppressor_Pistol,,,,left_only
375,375,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Baz_nitch,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Baz_Nitch,,,,left_only
380,380,http://dbkwik.webdatacommons.org/starwars.wikia.com/property/government,http://dbkwik.webdatacommons.org/swg.wikia.com/property/government,,,,left_only
385,385,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Corellian_butterfly,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Corellian_Butterfly,,,,left_only
391,391,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Air_cake,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Air_Cake,,,,left_only
393,393,http://dbkwik.webdatacommons.org/starwars.wikia.com/property/hair,http://dbkwik.webdatacommons.org/swg.wikia.com/property/hair,,,,left_only
394,394,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Cryo_lance,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Cryo_Lance,,,,left_only
397,397,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/HH-15_torpedo,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/HH-15_Torpedo_Warhead,,,,left_only
398,398,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Cora_(Human),http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Speak_with_Cora,,,,left_only
400,400,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Kilnstrider,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Admiral_Kilnstrider,,,,left_only
402,402,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Commendation,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Commendations,,,,left_only
408,408,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Faeto,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Faeto%27s_Job,,,,left_only
409,409,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Gurnst,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Colonel_Gurnst,,,,left_only
411,411,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Mysterious_Shrine,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Mysterious_Shrines,,,,left_only
412,412,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/P8_Lamprey_pistol,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/P-8_Lamprey_Pistol,,,,left_only
414,414,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Galactic_Vacant_Building_Demolitions,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/House_Demolition_Program,,,,left_only
415,415,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Enchanting_Lure,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Enchanting_Lore,,,,left_only
421,421,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Dunir_Signos,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Find_Dunir,,,,left_only
422,422,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Buzz-knuck,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Buzz-Knuck,,,,left_only
423,423,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Wookiee-ookiee,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Decorative_Wookiee-ookiees,,,,left_only
426,426,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Aurilian_fruit,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/Aurilian_Fruit,,,,left_only
428,428,http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/HK-77,http://dbkwik.webdatacommons.org/swg.wikia.com/resource/HK-77_assault_droid,,,,left_only
